year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2011,3,1,74.0 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,71,Male,Mexico,Mexico,Mexico City,,['Telecom'],,,True,Increased
2011,3,2,56.0 B,Gates,Bill,Bill Gates,1955-10-28,55,Male,United States,United States,Medina,Technology,['Technology                    '],Bill & Melinda Gates Foundation,Co-Chair,True,Increased
2011,3,3,50.0 B,Buffett,Warren,Warren Buffett,1930-08-30,80,Male,United States,United States,Omaha,Investments,['Investments                   '],Berkshire Hathaway,Chairman,True,Increased
2011,3,4,41.0 B,Arnault,Bernard,Bernard Arnault,1949-03-05,62,Male,France,France,Paris,,['Fashion and Retail'],,,False,Increased
2011,3,5,39.5 B,Ellison,Larry,Larry Ellison,1944-08-17,66,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO,True,Increased
2011,3,6,31.1 B,Mittal,Lakshmi,Lakshmi Mittal,1950-06-15,60,Male,India,United Kingdom,London,,['Metals & Mining'],,,False,Increased
2011,3,10,26.5 B,Walton,Christy,Christy Walton & family,1955-01-01,56,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Increased
2011,3,7,31.0 B,Ortega,Amancio,Amancio Ortega,1936-03-28,75,Male,Spain,Spain,La Coruna,,['Fashion and Retail'],,,True,Increased
2011,3,8,30.0 B,Batista,Eike,Eike Batista,1956-11-03,54,Male,Brazil,Brazil,Rio de Janeiro,,['Energy'],,,True,Increased
2011,3,11,26.0 B,Li,Ka-shing,Li Ka-shing,1928-06-13,82,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],Hutchison Whampoa,Chairman,True,Increased
2011,3,9,27.0 B,Ambani,Mukesh,Mukesh Ambani,1957-04-19,53,Male,India,India,Mumbai,,['Energy'],,,False,Decreased
2011,3,16,23.3 B,Adelson,Sheldon,Sheldon Adelson,1933-08-04,77,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Increased
