year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2014,3,1,76.0 B,Gates,Bill,Bill Gates,1955-10-28,58,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Co-Chair,True,Increased
2014,3,2,72.0 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,74,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],Am&#233;rica M&#243;vil,Honorary Chairman,True,Decreased
2014,3,3,64.0 B,Ortega,Amancio,Amancio Ortega,1936-03-28,77,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2014,3,4,58.2 B,Buffett,Warren,Warren Buffett,1930-08-30,83,Male,United States,United States,Omaha,Investments,['Investments'],Berkshire Hathaway,CEO,True,Increased
2014,3,5,48.0 B,Ellison,Larry,Larry Ellison,1944-08-17,69,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO and Founder,True,Increased
2014,3,6,40.0 B,Koch,Charles,Charles Koch,1935-11-01,78,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2014,3,6,40.0 B,Koch,David,David Koch,1940-05-03,73,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2014,3,8,38.0 B,Adelson,Sheldon,Sheldon Adelson,1933-08-04,80,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Increased
2014,3,9,36.7 B,Walton,Christy,Christy Walton & family,1955-01-01,59,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Increased
2014,3,10,34.7 B,Walton,Jim,Jim Walton,1948-01-01,66,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2014,3,11,34.5 B,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,91,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2014,3,12,34.4 B,Persson,Stefan,Stefan Persson,1947-10-04,66,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],H&#38;M,Chairman,False,Increased
2014,3,13,34.3 B,Walton,Alice,Alice Walton,1949-10-07,64,Female,United States,United States,Fort Worth,Fashion and Retail,['Fashion and Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2014,3,14,34.2 B,Walton,S. Robson,S. Robson Walton,1944-01-01,70,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],Wal-Mart Stores,Chairman,False,Increased
2014,3,15,33.5 B,Arnault,Bernard,Bernard Arnault & family,1949-03-05,64,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2014,3,16,33.0 B,Bloomberg,Michael,Michael Bloomberg,1942-02-14,72,Male,United States,United States,New York,Finance,['Finance'],United States,"Mayor, New York City",True,Increased
2014,3,17,32.3 B,Page,Larry,Larry Page,1973-03-26,40,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
2014,3,18,32.0 B,Bezos,Jeff,Jeff Bezos,1964-01-12,50,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,CEO,True,Increased
2014,3,19,31.8 B,Brin,Sergey,Sergey Brin,1973-08-21,40,Male,United States,United States,Los Altos,Technology,['Technology'],Google,"Cofounder, Director Of Special Projects",True,Increased
2014,3,20,31.0 B,Li,Ka-shing,Li Ka-shing,1928-06-13,85,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Chairman,True,Remained Even
2014,3,21,28.5 B,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,29,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Increased
2014,3,22,26.5 B,Ferrero,Michele,Michele Ferrero & family,1925-04-26,88,Male,Italy,,,Food and Beverage,['Food and Beverage'],,,False,Increased
2014,3,23,25.0 B,Albrecht,Karl,Karl Albrecht,1920-02-20,94,Male,Germany,,,Fashion and Retail,['Fashion and Retail'],,,True,Decreased
2014,3,23,25.0 B,Dangote,Aliko,Aliko Dangote,1957-04-10,56,Male,Nigeria,Nigeria,Lagos,Manufacturing,['Manufacturing'],Dangote Group,CEO,True,Increased
2014,3,25,24.5 B,Icahn,Carl,Carl Icahn,1936-02-16,78,Male,United States,United States,New York,Investments,['Investments'],Icahn Capital Management,Founder,True,Increased
2014,3,26,23.0 B,Soros,George,George Soros,1930-08-12,83,Male,United States,United States,Katonah,Investments,['Investments'],Soros Fund Management LLC,Founder,True,Increased
2014,3,27,22.6 B,Thomson,David,David Thomson & family,1957-06-12,56,Male,Canada,Canada,Toronto,Media & Entertainment,['Media & Entertainment'],Thomson Reuters,Chairman,False,Increased
2014,3,28,22.0 B,Lui,Che Woo,Lui Che Woo,1929-04-01,84,Male,Hong Kong,Hong Kong,Hong Kong,Gambling & Casinos,['Gambling & Casinos'],,,True,Increased
2014,3,29,21.1 B,Schwarz,Dieter,Dieter Schwarz,1939-09-24,74,Male,Germany,Germany,Neckarsulm,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2014,3,30,20.4 B,Alsaud,Prince Alwaleed Bin Talal,Prince Alwaleed Bin Talal Alsaud,1955-03-07,58,Male,Saudi Arabia,Saudi Arabia,Riyadh,Finance and Investments,['Finance and Investments'],,,True,Increased
2014,3,31,20.0 B,Mars,Forrest,"Forrest Mars, Jr.",1931-08-13,82,Male,United States,United States,Big Horn,Food and Beverage,['Food and Beverage'],,,False,Increased
2014,3,31,20.0 B,Mars,Jacqueline,Jacqueline Mars,1939-10-10,74,Female,United States,United States,The Plains,Food and Beverage,['Food and Beverage'],,,False,Increased
2014,3,31,20.0 B,Mars,John,John Mars,1936-06-01,77,Male,United States,United States,Jackson,Food and Beverage,['Food and Beverage'],,,False,Increased
2014,3,34,19.7 B,Lemann,Jorge Paulo,Jorge Paulo Lemann,1939-08-26,74,Male,Brazil,Switzerland,zurich,Food and Beverage,['Food and Beverage'],,"Investor, Philanthropist",True,Increased
2014,3,35,19.6 B,Lee,Shau Kee,Lee Shau Kee,1928-01-29,86,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,True,Decreased
2014,3,36,19.3 B,Albrecht,Theo,"Theo Albrecht, Jr. & family",1951-01-01,63,Male,Germany,Germany,Mulheim an der Ruhr,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2014,3,36,19.3 B,Ballmer,Steve,Steve Ballmer,1956-03-24,57,Male,United States,United States,Hunts Point,Technology,['Technology'],Microsoft,CEO,True,Increased
2014,3,38,19.2 B,Del Vecchio,Leonardo,Leonardo Del Vecchio & family,1935-05-22,78,Male,Italy,Italy,Milan,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2014,3,39,18.7 B,Blavatnik,Len,Len Blavatnik,1957-06-01,56,Male,United States,United Kingdom,London,Energy,['Energy'],,,True,Increased
2014,3,40,18.6 B,Ambani,Mukesh,Mukesh Ambani,1957-04-19,56,Male,India,India,Mumbai,Energy,['Energy'],Reliance Industries,Chairman,False,Decreased
2014,3,40,18.6 B,Usmanov,Alisher,Alisher Usmanov,1953-09-09,60,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],Metalloinvest,Founder,True,Increased
2014,3,42,18.4 B,Knight,Phil,Phil Knight,1938-02-24,76,Male,United States,United States,Hillsboro,Fashion and Retail,['Fashion and Retail'],NIKE,Chairman,True,Increased
2014,3,42,18.4 B,Otto,Michael,Michael Otto & family,1943-04-12,70,Male,Germany,Germany,Hamburg,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2014,3,42,18.4 B,Son,Masayoshi,Masayoshi Son,1957-08-11,56,Male,Japan,Japan,Tokyo,Telecom,['Telecom'],Softbank,CEO,True,Increased
2014,3,45,17.9 B,Yanai,Tadashi,Tadashi Yanai & family,1949-02-07,65,Male,Japan,Japan,Tokyo,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2014,3,46,17.7 B,Rinehart,Gina,Gina Rinehart,1954-02-09,60,Female,Australia,Australia,Perth,Metals & Mining,['Metals & Mining'],Hancock Prospecting,Executive Chairman,False,Increased
2014,3,47,17.6 B,Fridman,Mikhail,Mikhail Fridman,1964-04-21,49,Male,Russia,United Kingdom,London,Energy,['Energy'],,,True,Increased
2014,3,48,17.5 B,Dell,Michael,Michael Dell,1965-02-23,49,Male,United States,United States,Austin,Technology,['Technology'],Dell,Chairman and CEO,True,Increased
2014,3,49,17.4 B,Klatten,Susanne,Susanne Klatten,1962-04-28,51,Female,Germany,Germany,Bad Homburg,Automotive,['Automotive'],,,False,Increased
2014,3,50,17.3 B,Johnson,Abigail,Abigail Johnson,1961-12-19,52,Female,United States,United States,Milton,Business,['Business'],Fidelity Investments,"President, Financial Services",False,Increased
2014,3,51,17.2 B,Vekselberg,Viktor,Viktor Vekselberg,1957-04-14,56,Male,Russia,Russia,Moscow,Energy,['Energy'],,,True,Increased
2014,3,52,16.7 B,Mittal,Lakshmi,Lakshmi Mittal,1950-06-15,63,Male,India,United Kingdom,London,Metals & Mining,['Metals & Mining'],ArcelorMittal (ADR),Chairman and CEO,False,Increased
2014,3,53,16.6 B,Lisin,Vladimir,Vladimir Lisin,1956-05-07,57,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,True,Increased
2014,3,54,16.2 B,Cheng,Yu-tung,Cheng Yu-tung,1925-08-27,88,Male,Hong Kong,,,Real Estate,['Real Estate'],,,True,Increased
