year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2007,3,1,56.0 B,Gates,William,Bill Gates,1955-10-28,51,Male,United States,United States,Medina,,['Technology'],,,False,Increased
2007,3,2,52.0 B,,,Warren Buffett,,76,,United States,United States,Omaha,,['Investments'],,,,
2007,3,3,49.0 B,,,Carlos Slim Helu & family,,67,,Mexico,Mexico,Mexico City,,,,,,
2007,3,4,33.0 B,,,Ingvar Kamprad & family,,80,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2007,3,5,32.0 B,,,Lakshmi Mittal,,56,,India,United Kingdom,London,,['Manufacturing'],,,,
2007,3,6,26.5 B,,,Sheldon Adelson,,73,,United States,United States,Las Vegas,,,,,,
2007,3,7,26.0 B,,,Bernard Arnault,,58,,France,France,Paris,,,,,,
2007,3,8,24.0 B,,,Amancio Ortega,,71,,Spain,Spain,La Coruna,,['Apparel'],,,,
2007,3,9,23.0 B,,,Ka-shing Li,,78,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2007,3,10,22.0 B,,,David Thomson & family,,49,,Canada,Canada,Toronto,,['Media'],,,,
2007,3,11,21.5 B,,,Lawrence Ellison,,62,,United States,United States,Redwood City,,['Software'],,,,
2007,3,12,20.7 B,,,Liliane Bettencourt,,84,,France,France,Paris,,['Manufacturing'],,,,
2007,3,13,20.3 B,,,Prince Alwaleed Bin Talal Alsaud,,50,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2007,3,14,20.1 B,,,Mukesh Ambani,,49,,India,India,Mumbai,,['Manufacturing'],,,,
2007,3,15,20.0 B,,,Karl Albrecht,,87,,Germany,Germany,M?lheim an der Ruhr,,['Retail'],,,,
2007,3,16,18.7 B,,,Roman Abramovich,,40,,Russia,United Kingdom,London,,['Oil'],,,,
2007,3,17,18.4 B,,,Stefan Persson,,59,,Sweden,Sweden,Stockholm,,['Retail'],,,,
2007,3,18,18.2 B,,,Anil Ambani,,47,,India,India,Mumbai,,,,,,
2007,3,19,18.0 B,Allen,Paul,Paul Allen,1953-01-21,54,Male,United States,United States,Mercer Island,,['Technology'],,,False,Decreased
2007,3,21,17.1 B,,,Azim Premji,,61,,India,India,Bangalore,,,,,,
2007,3,22,17.0 B,,,Shau Kee Lee,,79,,Hong Kong,Hong Kong,Hong Kong,,['Real Estate'],,,,
2007,3,23,16.8 B,,,Jim Walton,,59,,United States,United States,Bentonville,,['Retail'],,,,
2007,3,24,16.7 B,,,Christy Walton & family,,52,,United States,United States,Jackson,,['Retail'],,,,
2007,3,24,16.7 B,,,S. Robson Walton,,63,,United States,United States,Bentonville,,['Retail'],,,,
2007,3,26,16.6 B,,,Sergey Brin,,33,,United States,United States,Palo Alto,,,,,,
2007,3,26,16.6 B,,,Larry Page,,34,,United States,United States,San Francisco,,,,,,
2007,3,26,16.6 B,,,Alice Walton,,57,,United States,United States,Fort Worth,,['Retail'],,,,
2007,3,30,15.8 B,,,Michael Dell,,42,,United States,United States,Austin,,,,,,
2007,3,31,15.0 B,Ballmer,Steven,Steve Ballmer,1956-03-24,51,Male,United States,United States,Hunts Point,,['Technology'],,,False,Increased
2007,3,31,15.0 B,,,Kirk Kerkorian,,89,,United States,United States,Los Angeles,,['Investments'],,,,
2007,3,31,15.0 B,,,Kwok family,,0,,Hong Kong,Hong Kong,Hong Kong,,['Real Estate'],,,,
2007,3,34,14.5 B,,,Francois Pinault & family,,70,,France,France,Paris,,,,,,
2007,3,35,14.4 B,,,Suleiman Kerimov,,41,,Russia,Russia,Moscow,,['Investments'],,,,
2007,3,36,14.3 B,,,Vladimir Lisin,,50,,Russia,Russia,Moscow,,,,,,
2007,3,37,13.9 B,Taylor,Jack,Jack Taylor & family,1922-09-01,84,Male,United States,United States,St. Louis,,['Service'],,,False,Increased
2007,3,38,13.5 B,,,Vladimir Potanin,,46,,Russia,Russia,Moscow,,,,,,
2007,3,38,13.5 B,,,Mikhail Prokhorov,,41,,Russia,Russia,Moscow,,,,,,
2007,3,40,13.3 B,,,Oleg Deripaska,,39,,Russia,Russia,Moscow,,['Manufacturing'],,,,
2007,3,40,13.3 B,,,Michael Otto & family,,63,,Germany,Germany,Hamburg,,['Retail'],,,,
2007,3,42,13.0 B,,,Carl Icahn,,71,,United States,United States,New York,,['Investments'],,,,
2007,3,42,13.0 B,,,Abigail Johnson,,45,,United States,United States,Boston,,['Finance'],,,,
2007,3,45,12.6 B,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,87,Female,United States,United States,Atlanta,,['Media'],,,False,Increased
2007,3,45,12.6 B,,,Mikhail Fridman,,42,,Russia,Russia,Moscow,,['Oil'],,,,
2007,3,48,12.4 B,,,Vagit Alekperov,,56,,Russia,Russia,Moscow,,['Oil'],,,,
2007,3,49,12.0 B,,,Charles Koch,,71,,United States,United States,Wichita,,['Oil'],,,,
2007,3,49,12.0 B,,,David Koch,,66,,United States,United States,New York,,['Oil'],,,,
2007,3,51,11.8 B,,,Silvio Berlusconi & family,,70,,Italy,Italy,North of Milan,,['Media'],,,,
2007,3,52,11.5 B,Al-Kharafi,Nasser,Nasser Al-Kharafi & family,1943-06-17,63,Male,Kuwait,,,,['Diversified'],,,False,Decreased
2007,3,52,11.5 B,,,Leonardo Del Vecchio,,71,,Italy,Italy,Milan,,['Manufacturing'],,,,
2007,3,54,11.2 B,Mordashov,Alexey,Alexey Mordashov,1965-09-26,41,Male,Russia,Russia,Moscow,,['Metals & Mining'],,,False,Increased
2007,3,55,11.0 B,,,Gerald Cavendish Grosvenor & family,,55,,United Kingdom,United Kingdom,Chester,,['Real Estate'],,,,
2007,3,55,11.0 B,,,Spiro Latsis & family,,60,,Greece,Switzerland,Geneva,,,,,,
2007,3,55,11.0 B,,,Birgit Rausing & family,,83,,Sweden,Switzerland,Vaud,,['Manufacturing'],,,,
2007,3,58,10.5 B,,,Forrest Mars,,75,,United States,United States,McLean,,['Food'],,,,
2007,3,58,10.5 B,,,Jacqueline Mars,,67,,United States,United States,Bedminster,,['Food'],,,,
2007,3,58,10.5 B,,,John Mars,,70,,United States,United States,Arlington,,['Food'],,,,
2007,3,61,10.4 B,,,Viktor Vekselberg,,49,,Russia,Russia,Moscow,,['Oil'],,,,
2007,3,62,10.0 B,,,Serge Dassault & family,,81,,France,France,Paris,,['Manufacturing'],,,,
2007,3,62,10.0 B,Ergen,Charles,Charles Ergen,1953-03-01,54,Male,United States,United States,Denver,,['Media'],,,False,Increased
2007,3,62,10.0 B,,,Michele Ferrero & family,,80,,Italy,Monaco,Montecarlo,,['Food'],,,,
2007,3,62,10.0 B,,,Naguib Sawiris,,52,,Egypt,Egypt,Cairo,,,,,,
2007,3,62,10.0 B,,,Kushal Pal Singh,,75,,India,India,Delhi,,['Real Estate'],,,,
2007,3,62,10.0 B,,,Alain &#38; Gerard Wertheimer,,0,,France,n/a,,,['Apparel'],,,,
2007,3,68,9.6 B,,,Susanne Klatten,,44,,Germany,Germany,Bad Homburg,,['Pharmaceuticals'],,,,
2007,3,69,9.5 B,Knight,Philip,Phil Knight,1938-02-24,69,Male,United States,United States,Hillsboro,,['Fashion and Retail'],,,False,Increased
2007,3,69,9.5 B,,,Sunil Mittal & family,,49,,India,India,Delhi,,,,,,
2007,3,71,9.1 B,,,Vladimir Yevtushenkov,,58,,Russia,Russia,Moscow,,,,,,
2007,3,73,9.0 B,,,Rupert Murdoch,,76,,United States,United States,New York,,['Media'],,,,
2007,3,73,9.0 B,,,Hans Rausing,,81,,Sweden,United Kingdom,Wadhurst,,['Manufacturing'],,,,
2007,3,73,9.0 B,,,Reinhold Wurth,,71,,Germany,Germany,Kuenzelsau,,['Manufacturing'],,,,
2007,3,76,8.8 B,,,Ernesto Bertarelli & family,,41,,Switzerland,Switzerland,Geneva,,['Pharmaceuticals'],,,,
2007,3,76,8.8 B,,,Pierre Omidyar,,39,,United States,United States,Henderson,,,,,,
2007,3,78,8.7 B,,,Maria-Elisabeth &#38; Georg Schaeffler,,0,,Germany,Germany,Herzogenaurach,,['Manufacturing'],,,,
2007,3,80,8.5 B,,,Donald Bren,,74,,United States,United States,Newport Beach,,['Real Estate'],,,,
2007,3,80,8.5 B,,,George Kaiser,,64,,United States,United States,Tulsa,,['Oil'],,,,
2007,3,80,8.5 B,,,George Soros,,76,,United States,United States,Westchester,,['Finance'],,,,
2007,3,83,8.4 B,,,Nikolai Tsvetkov,,46,,Russia,Russia,Moscow,,['Oil'],,,,
2007,3,83,8.4 B,,,August von Finck,,77,,Germany,Switzerland,Thurgau,,['Investments'],,,,
2007,3,86,8.0 B,,,Mohammed Al Amoudi,,61,,Saudi Arabia,Saudi Arabia,Jeddah,,['Oil'],,,,
2007,3,86,8.0 B,,,Abdul Aziz Al Ghurair & family,,53,,United Arab Emirates,United Arab Emirates,Dubai,,['Finance'],,,,
2007,3,86,8.0 B,,,Kumar Birla,,39,,India,India,Mumbai,,,,,,
2007,3,86,8.0 B,,,German Khan,,45,,Russia,Russia,Moscow,,['Oil'],,,,
2007,3,86,8.0 B,,,Iskander Makhmudov,,43,,Russia,Russia,Moscow,,,,,,
2007,3,86,8.0 B,,,Sumner Redstone,,83,,United States,United States,Beverly Hills,,['Media'],,,,
2007,3,86,8.0 B,,,Shashi &#38; Ravi Ruia,,0,,India,India,Mumbai,,,,,,
