year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2006,3,1,50.0 B,Gates,William,Bill Gates,1955-10-28,50,Male,United States,United States,Medina,,['Technology'],,,False,Increased
2006,3,2,42.0 B,,,Warren Buffett,,75,,United States,United States,Omaha,,['Investments'],,,,
2006,3,3,30.0 B,,,Carlos Slim Helu & family,,66,,Mexico,Mexico,Mexico City,,,,,,
2006,3,4,28.0 B,,,Ingvar Kamprad & family,,79,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2006,3,5,23.5 B,,,Lakshmi Mittal,,55,,India,United Kingdom,London,,['Manufacturing'],,,,
2006,3,6,22.0 B,Allen,Paul,Paul Allen,1953-01-21,53,Male,United States,United States,Mercer Island,,['Technology'],,,False,Increased
2006,3,7,21.5 B,,,Bernard Arnault,,57,,France,France,Paris,,,,,,
2006,3,8,20.0 B,,,Prince Alwaleed Bin Talal Alsaud,,49,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2006,3,10,18.8 B,,,Ka-shing Li,,77,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2006,3,11,18.2 B,,,Roman Abramovich,,39,,Russia,United Kingdom,London,,['Oil'],,,,
2006,3,12,17.1 B,,,Michael Dell,,41,,United States,United States,Austin,,,,,,
2006,3,13,17.0 B,,,Karl Albrecht,,86,,Germany,Germany,M?lheim an der Ruhr,,['Retail'],,,,
2006,3,14,16.1 B,,,Sheldon Adelson,,72,,United States,United States,Las Vegas,,,,,,
2006,3,15,16.0 B,,,Liliane Bettencourt,,83,,France,France,Paris,,['Manufacturing'],,,,
2006,3,15,16.0 B,,,Lawrence Ellison,,61,,United States,United States,Silicon Valley,,['Software'],,,,
2006,3,17,15.9 B,,,Christy Walton & family,,51,,United States,United States,Jackson,,['Retail'],,,,
2006,3,17,15.9 B,,,Jim Walton,,58,,United States,United States,Bentonville,,['Retail'],,,,
2006,3,19,15.8 B,,,S. Robson Walton,,62,,United States,United States,Bentonville,,['Retail'],,,,
2006,3,20,15.7 B,,,Alice Walton,,56,,United States,United States,Fort Worth,,['Retail'],,,,
2006,3,23,14.8 B,,,Amancio Ortega,,70,,Spain,Spain,La Coruna,,['Apparel'],,,,
2006,3,24,13.6 B,Ballmer,Steven,Steve Ballmer,1956-03-24,50,Male,United States,United States,Hunts Point,,['Technology'],,,False,Increased
2006,3,25,13.3 B,,,Azim Premji,,60,,India,India,Bangalore,,,,,,
2006,3,26,12.9 B,,,Sergey Brin,,32,,United States,United States,San Francisco,,,,,,
2006,3,27,12.8 B,,,Larry Page,,33,,United States,United States,San Francisco,,,,,,
2006,3,28,12.5 B,,,Abigail Johnson,,44,,United States,United States,Boston,,['Finance'],,,,
2006,3,29,12.4 B,Al-Kharafi,Nasser,Nasser Al-Kharafi & family,1943-06-17,62,Male,Kuwait,,,,['Diversified'],,,False,Increased
2006,3,29,12.4 B,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,86,Female,United States,United States,Atlanta,,['Media'],,,False,Increased
2006,3,32,12.3 B,,,Stefan Persson,,58,,Sweden,Sweden,Stockholm,,['Retail'],,,,
2006,3,33,12.0 B,,,Charles Koch,,70,,United States,United States,Wichita,,['Oil'],,,,
2006,3,33,12.0 B,,,David Koch,,65,,United States,United States,Wichita,,['Oil'],,,,
2006,3,35,11.6 B,,,Kwok family,,0,,Hong Kong,Hong Kong,Hong Kong,,['Real Estate'],,,,
2006,3,37,11.0 B,,,Sulaiman Al Rajhi,,86,,Saudi Arabia,Saudi Arabia,Jeddah,,['Finance'],,,,
2006,3,37,11.0 B,,,Vagit Alekperov,,55,,Russia,Russia,Moscow,,['Oil'],,,,
2006,3,37,11.0 B,,,Silvio Berlusconi & family,,69,,Italy,Italy,North of Milan,,['Media'],,,,
2006,3,37,11.0 B,,,Shau Kee Lee,,78,,Hong Kong,Hong Kong,Hong Kong,,['Real Estate'],,,,
2006,3,41,10.7 B,,,Vladimir Lisin,,49,,Russia,Russia,Moscow,,,,,,
2006,3,42,10.4 B,,,Michael Otto & family,,62,,Germany,Germany,Hamburg,,['Retail'],,,,
2006,3,43,10.1 B,,,Pierre Omidyar,,38,,United States,United States,Henderson,,,,,,
2006,3,44,10.0 B,,,Leonardo Del Vecchio,,70,,Italy,Italy,Milan,,['Manufacturing'],,,,
2006,3,44,10.0 B,,,Michele Ferrero & family,,79,,Italy,Monaco,Montecarlo,,['Food'],,,,
2006,3,44,10.0 B,,,Forrest Mars,,74,,United States,United States,McLean,,['Food'],,,,
2006,3,44,10.0 B,,,Jacqueline Mars,,66,,United States,United States,Bedminster,,['Food'],,,,
2006,3,44,10.0 B,,,John Mars,,69,,United States,United States,Arlington,,['Food'],,,,
2006,3,44,10.0 B,,,Viktor Vekselberg,,48,,Russia,Russia,Moscow,,['Oil'],,,,
2006,3,50,9.7 B,,,Mikhail Fridman,,41,,Russia,Russia,Moscow,,['Oil'],,,,
2006,3,51,9.1 B,,,Spiro Latsis & family,,59,,Greece,Switzerland,Geneva,,,,,,
2006,3,53,8.7 B,,,Carl Icahn,,70,,United States,United States,New York,,['Investments'],,,,
2006,3,53,8.7 B,,,Kirk Kerkorian,,88,,United States,United States,Los Angeles,,['Investments'],,,,
