year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2005,3,1,46.5 B,Gates,William,Bill Gates,1955-10-28,49,Male,United States,United States,Medina,,['Technology'],,,False,Decreased
2005,3,2,44.0 B,,,Warren Buffett,,74,,United States,United States,Omaha,,['Investments'],,,,
2005,3,3,25.0 B,,,Lakshmi Mittal,,54,,India,United Kingdom,London,,['Manufacturing'],,,,
2005,3,4,23.8 B,,,Carlos Slim Helu & family,,65,,Mexico,Mexico,Mexico City,,,,,,
2005,3,5,23.7 B,,,Prince Alwaleed Bin Talal Alsaud,,48,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2005,3,6,23.0 B,,,Ingvar Kamprad & family,,78,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2005,3,7,21.0 B,Allen,Paul,Paul Allen,1953-01-21,52,Male,United States,United States,Mercer Island,,['Technology'],,,False,Remained Even
2005,3,8,18.5 B,,,Karl Albrecht,,85,,Germany,Germany,M?lheim an der Ruhr,,['Retail'],,,,
2005,3,9,18.4 B,,,Lawrence Ellison,,60,,United States,United States,Silicon Valley,,['Software'],,,,
2005,3,10,18.3 B,,,S. Robson Walton,,61,,United States,United States,Bentonville,,['Retail'],,,,
2005,3,11,18.2 B,,,Jim Walton,,57,,United States,United States,Bentonville,,['Retail'],,,,
2005,3,13,18.0 B,,,Alice Walton,,56,,United States,United States,Fort Worth,,['Retail'],,,,
2005,3,16,17.2 B,,,Liliane Bettencourt,,82,,France,France,Paris,,['Manufacturing'],,,,
2005,3,17,17.0 B,,,Bernard Arnault,,56,,France,France,Paris,,,,,,
2005,3,18,16.0 B,,,Michael Dell,,40,,United States,United States,Austin,,,,,,
2005,3,19,15.6 B,,,Sheldon Adelson,,71,,United States,United States,Las Vegas,,,,,,
2005,3,21,13.3 B,,,Roman Abramovich,,38,,Russia,United Kingdom,London,,['Oil'],,,,
2005,3,22,13.0 B,,,Ka-shing Li,,76,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2005,3,23,12.6 B,,,Amancio Ortega,,69,,Spain,Spain,La Coruna,,['Apparel'],,,,
2005,3,24,12.1 B,Ballmer,Steven,Steve Ballmer,1956-03-24,49,Male,United States,United States,Hunts Point,,['Technology'],,,False,Decreased
2005,3,25,12.0 B,,,Silvio Berlusconi & family,,68,,Italy,Italy,North of Milan,,['Media'],,,,
2005,3,25,12.0 B,,,Abigail Johnson,,43,,United States,United States,Boston,,['Finance'],,,,
2005,3,27,11.7 B,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,85,Female,United States,United States,Atlanta,,['Media'],,,False,Increased
2005,3,29,11.2 B,,,Stefan Persson,,57,,Sweden,Sweden,Stockholm,,['Retail'],,,,
2005,3,31,10.9 B,,,Kwok family,,0,,Hong Kong,Hong Kong,Hong Kong,,['Real Estate'],,,,
2005,3,32,10.4 B,,,Forrest Mars,,73,,United States,United States,McLean,,['Food'],,,,
2005,3,32,10.4 B,,,Jacqueline Mars,,65,,United States,United States,Bedminster,,['Food'],,,,
2005,3,32,10.4 B,,,John Mars,,68,,United States,United States,Arlington,,['Food'],,,,
2005,3,35,9.9 B,,,Luciano Benetton,,69,,Italy,Italy,Treviso,,['Apparel'],,,,
2005,3,35,9.9 B,,,Pierre Omidyar,,37,,United States,United States,Henderson,,,,,,
2005,3,35,9.9 B,,,Galen Weston & family,,64,,Canada,Canada,Toronto,,['Retail'],,,,
2005,3,38,9.3 B,,,Shau Kee Lee,,77,,Hong Kong,Hong Kong,Hong Kong,,['Real Estate'],,,,
2005,3,38,9.3 B,,,Azim Premji,,59,,India,India,Bangalore,,,,,,
2005,3,40,9.0 B,Al-Kharafi,Nasser,Nasser Al-Kharafi & family,1943-06-17,61,Male,Kuwait,,,,['Diversified'],,,False,Increased
2005,3,41,8.9 B,,,Kirk Kerkorian,,87,,United States,United States,Los Angeles,,['Investments'],,,,
2005,3,42,8.8 B,,,Sumner Redstone,,81,,United States,United States,Beverly Hills,,['Media'],,,,
2005,3,43,8.5 B,,,Leonardo Del Vecchio,,69,,Italy,Italy,Milan,,['Manufacturing'],,,,
2005,3,43,8.5 B,,,Michele Ferrero & family,,78,,Italy,Belgium,Brussels,,['Food'],,,,
2005,3,45,8.3 B,,,Michael Otto & family,,61,,Germany,Germany,Hamburg,,['Retail'],,,,
2005,3,46,8.2 B,,,Susanne Klatten,,43,,Germany,Germany,Bad Homburg,,['Pharmaceuticals'],,,,
2005,3,46,8.2 B,Knight,Philip,Phil Knight,1938-02-24,67,Male,United States,United States,Hillsboro,,['Fashion and Retail'],,,False,Increased
2005,3,46,8.2 B,,,Hans Rausing,,79,,Sweden,United Kingdom,Wadhurst,,['Manufacturing'],,,,
2005,3,49,7.8 B,,,Serge Dassault & family,,80,,France,France,Paris,,['Manufacturing'],,,,
2005,3,49,7.8 B,,,Carl Icahn,,69,,United States,United States,New York,,['Investments'],,,,
